sale_id,date_id,product_id,customer_id,store_id,quantity,unit_price,total_amount,discount_amount,net_amount,payment_method,transaction_time
T096853,20230412,P0178,C1290,S042,2,304.22,608.44,147.48929494081747,460.9507050591826,Debit Card,2023-04-12 11:39:00
T016131,20230907,P0119,C2276,S020,1,222.94,222.94,43.21845506813448,179.72154493186554,Cash,2023-09-07 12:31:00
T019793,20230721,P0817,C3475,S027,5,53.77,268.85,71.72807152882326,197.1219284711768,Debit Card,2023-07-21 12:04:00
T089578,20230518,P0740,C0696,S003,2,616.22,1232.44,278.3238172480611,954.1161827519388,Debit Card,2023-05-18 20:36:00
T040164,20230727,P0132,C4002,S012,4,39.69,158.76,42.35311772593892,116.40688227406108,Mobile Payment,2023-07-27 20:01:00
T031777,20230124,P0740,C1781,S024,3,616.22,1848.66,212.03764685553588,1636.622353144464,Debit Card,2023-01-24 16:40:00
T025331,20230426,P0501,C1712,S034,4,613.13,2452.52,562.6625870380938,1889.8574129619064,Credit Card,2023-04-26 20:40:00
T079157,20230721,P0090,C2097,S034,2,769.63,1539.26,183.7220607664117,1355.5379392335883,Mobile Payment,2023-07-21 15:25:00
T051686,20230421,P0823,C1717,S008,3,770.66,2311.98,344.32912626029315,1967.6508737397069,Credit Card,2023-04-21 16:17:00
T075499,20231112,P0058,C0200,S035,2,644.28,1288.56,292.13267518349426,996.4273248165056,Debit Card,2023-11-12 14:03:00
T004728,20230104,P0578,C3027,S027,2,859.29,1718.58,75.12141328184566,1643.4585867181545,Cash,2023-01-04 18:59:00
T085199,20230405,P0615,C4980,S044,2,676.19,1352.38,26.671828204902543,1325.7081717950975,Mobile Payment,2023-04-05 08:29:00
T035796,20230813,P0064,C4471,S023,1,225.48,225.48,13.952340613708785,211.5276593862912,Cash,2023-08-13 15:19:00
T012257,20231016,P0086,C1803,S048,4,830.03,3320.12,970.844955625446,2349.275044374553,Credit Card,2023-10-16 17:01:00
T035719,20230806,P0610,C0283,S023,5,277.73,1388.65,385.0229339631237,1003.6270660368764,Debit Card,2023-08-06 16:02:00
T070552,20230216,P0493,C3069,S023,4,651.57,2606.28,681.0043295336835,1925.2756704663168,Debit Card,2023-02-16 16:08:00
T054375,20230715,P0064,C3010,S020,3,225.48,676.4399999999999,197.45471484600407,478.9852851539959,Mobile Payment,2023-07-15 09:49:00
T039692,20230814,P0260,C4848,S004,1,135.17,135.17,25.10258797131614,110.06741202868383,Cash,2023-08-14 11:31:00
T093703,20231228,P0535,C2990,S003,3,814.75,2444.25,281.14225062404347,2163.1077493759567,Cash,2023-12-28 13:35:00
T073692,20231006,P0973,C3613,S027,1,440.96,440.96,13.51992756110895,427.44007243889104,Cash,2023-10-06 14:02:00
T098071,20230425,P0573,C1175,S042,2,989.06,1978.12,463.3617105791688,1514.758289420831,Mobile Payment,2023-04-25 20:42:00
T000576,20230620,P0727,C0771,S025,2,927.64,1855.28,38.045668403385626,1817.2343315966143,Cash,2023-06-20 10:12:00
T084611,20231022,P0059,C3093,S020,4,990.17,3960.68,1180.7445566575705,2779.9354433424296,Mobile Payment,2023-10-22 13:17:00
T061770,20231019,P0847,C3494,S042,3,972.84,2918.52,795.1198095205135,2123.4001904794864,Credit Card,2023-10-19 14:59:00
T032261,20230108,P0953,C3608,S041,4,201.29,805.16,194.08772246544015,611.0722775345598,Mobile Payment,2023-01-08 15:37:00
T082200,20231218,P0854,C0536,S049,1,770.95,770.95,35.77886685229802,735.171133147702,Mobile Payment,2023-12-18 15:06:00
T036291,20230126,P0663,C0480,S027,3,203.19,609.5699999999999,88.24074551223542,521.3292544877645,Cash,2023-01-26 17:08:00
T078450,20230425,P0041,C4818,S005,2,177.49,354.98,14.648995700333431,340.3310042996666,Cash,2023-04-25 15:02:00
T060056,20231216,P0966,C4078,S036,5,723.03,3615.15,775.8106949914152,2839.339305008584,Mobile Payment,2023-12-16 09:47:00
T045949,20230319,P0309,C4257,S050,2,891.96,1783.92,207.7602198680287,1576.1597801319713,Credit Card,2023-03-19 11:54:00
T028178,20230711,P0090,C2943,S001,2,769.63,1539.26,170.8948497954274,1368.3651502045725,Cash,2023-07-11 13:39:00
T084464,20230920,P0181,C0721,S017,1,656.39,656.39,129.40653472049647,526.9834652795035,Cash,2023-09-20 16:36:00
T000579,20230920,P0034,C0952,S032,1,98.56,98.56,24.715562097788297,73.84443790221171,Credit Card,2023-09-20 18:47:00
T030960,20230623,P0055,C1219,S042,5,372.45,1862.25,368.6612423939689,1493.588757606031,Credit Card,2023-06-23 17:44:00
T064291,20231215,P0734,C3248,S029,2,708.29,1416.58,327.84903913358846,1088.7309608664114,Credit Card,2023-12-15 14:03:00
T014532,20231202,P0089,C1389,S049,2,781.92,1563.84,290.7496389087908,1273.0903610912092,Debit Card,2023-12-02 11:49:00
T017934,20230811,P0305,C2479,S038,2,627.53,1255.06,360.5819308617378,894.4780691382621,Cash,2023-08-11 13:00:00
T033609,20230504,P0749,C1111,S032,3,15.86,47.58,10.546763521192744,37.03323647880725,Credit Card,2023-05-04 12:02:00
T049960,20230620,P0849,C1947,S039,1,308.87,308.87,48.100399252287936,260.76960074771205,Mobile Payment,2023-06-20 10:08:00
T066599,20230419,P0689,C3905,S025,1,546.6,546.6,79.86439081126532,466.7356091887347,Debit Card,2023-04-19 09:38:00
T099090,20230512,P0236,C3330,S049,2,545.91,1091.82,102.03268810515031,989.7873118948496,Debit Card,2023-05-12 09:58:00
T034452,20230722,P0280,C4737,S008,1,385.17,385.17,44.54594248750181,340.6240575124982,Debit Card,2023-07-22 14:46:00
T034081,20230915,P0738,C0091,S005,2,318.43,636.86,152.0202839639049,484.8397160360951,Credit Card,2023-09-15 14:33:00
T063588,20231013,P0761,C0902,S031,4,87.16,348.64,11.043105085232122,337.59689491476786,Mobile Payment,2023-10-13 10:06:00
T004294,20230906,P0802,C1340,S037,1,904.55,904.55,123.42043608797997,781.12956391202,Mobile Payment,2023-09-06 20:05:00
T069103,20231123,P0427,C1340,S040,5,464.68,2323.4,291.9583846565637,2031.4416153434363,Debit Card,2023-11-23 18:22:00
T086412,20230423,P0866,C2495,S006,5,392.85,1964.25,52.07828381940482,1912.1717161805952,Cash,2023-04-23 12:36:00
T099477,20230619,P0277,C3606,S014,4,199.44,797.76,55.5952738508464,742.1647261491536,Cash,2023-06-19 12:28:00
T053930,20231218,P0198,C1486,S037,4,247.35,989.4,233.3626439185957,756.0373560814043,Debit Card,2023-12-18 11:16:00
T087071,20231207,P0396,C2528,S001,1,276.34,276.34,81.96670959961104,194.37329040038892,Credit Card,2023-12-07 19:27:00
T065084,20231107,P0343,C2664,S037,1,193.99,193.99,35.648903618148644,158.34109638185137,Cash,2023-11-07 12:32:00
T030713,20230917,P0418,C2953,S014,4,858.28,3433.12,781.3249943326475,2651.7950056673526,Cash,2023-09-17 18:54:00
T049183,20230505,P0945,C1956,S001,2,611.45,1222.9,101.1378145002063,1121.7621854997938,Mobile Payment,2023-05-05 17:44:00
T057235,20230405,P0267,C2827,S004,2,129.56,259.12,1.934285046545362,257.18571495345464,Credit Card,2023-04-05 20:04:00
T015664,20231215,P0247,C0626,S023,1,454.79,454.79,64.40014618711054,390.3898538128895,Cash,2023-12-15 12:04:00
T019967,20231226,P0824,C0173,S023,5,286.81,1434.05,258.6598844922774,1175.3901155077226,Cash,2023-12-26 18:00:00
T091913,20231103,P0672,C4564,S016,1,28.13,28.13,2.513400461253454,25.616599538746545,Mobile Payment,2023-11-03 08:03:00
T091958,20230918,P0065,C3929,S010,5,210.7,1053.5,244.2261901884481,809.2738098115519,Cash,2023-09-18 15:12:00
T081347,20230422,P0737,C0199,S009,5,333.44,1667.2,97.80628842296068,1569.3937115770393,Mobile Payment,2023-04-22 10:53:00
T055326,20230417,P0204,C4238,S012,1,281.3,281.3,8.932572309034924,272.3674276909651,Debit Card,2023-04-17 12:26:00
T029858,20231217,P0258,C2248,S043,4,814.08,3256.32,935.569462533468,2320.750537466532,Credit Card,2023-12-17 18:05:00
T071223,20230618,P0621,C3257,S019,4,79.63,318.52,48.74972405752206,269.77027594247795,Debit Card,2023-06-18 13:11:00
T052459,20230805,P0164,C4291,S002,3,836.87,2510.61,230.120401235322,2280.4895987646782,Credit Card,2023-08-05 16:20:00
T088346,20230411,P0921,C1429,S043,2,478.82,957.64,190.2129042760125,767.4270957239875,Mobile Payment,2023-04-11 19:22:00
T082364,20230519,P0972,C1030,S010,3,143.71,431.13,118.56265689471638,312.5673431052836,Cash,2023-05-19 16:02:00
T065350,20230121,P0040,C0500,S021,4,142.3,569.2,56.426556469749386,512.7734435302507,Debit Card,2023-01-21 12:02:00
T059650,20231127,P0158,C1307,S032,2,172.44,344.88,50.83806750355264,294.0419324964474,Debit Card,2023-11-27 12:34:00
T044953,20230721,P0988,C3912,S024,2,215.22,430.44,123.57857392816808,306.86142607183194,Cash,2023-07-21 17:02:00
T039526,20230205,P0194,C2060,S036,2,702.78,1405.56,168.30588312795783,1237.2541168720422,Cash,2023-02-05 20:59:00
T013936,20230212,P0145,C4960,S040,4,408.95,1635.8,372.0438408675834,1263.7561591324163,Debit Card,2023-02-12 09:21:00
T093781,20230206,P0570,C3369,S050,2,723.81,1447.62,288.5301309223068,1159.089869077693,Debit Card,2023-02-06 13:13:00
T089885,20230117,P0586,C1112,S041,2,930.75,1861.5,164.97539090171077,1696.5246090982891,Debit Card,2023-01-17 10:05:00
T081144,20230510,P0923,C1464,S037,2,484.74,969.48,229.69226166383305,739.787738336167,Mobile Payment,2023-05-10 20:10:00
T095800,20230310,P0173,C1804,S012,3,573.33,1719.9900000000002,251.45166699153697,1468.5383330084633,Credit Card,2023-03-10 14:55:00
T089405,20231229,P0249,C0124,S004,5,463.71,2318.55,542.4859023023046,1776.0640976976952,Mobile Payment,2023-12-29 16:28:00
T055224,20230616,P0356,C4645,S018,4,815.74,3262.96,279.64991675755914,2983.3100832424407,Mobile Payment,2023-06-16 20:11:00
T073646,20230524,P0557,C1345,S025,5,44.34,221.7,8.033738668232129,213.66626133176788,Debit Card,2023-05-24 16:20:00
T066294,20230218,P0766,C0698,S010,2,528.59,1057.18,82.30731357020677,974.8726864297932,Credit Card,2023-02-18 08:46:00
T065540,20231011,P0706,C2383,S021,4,43.16,172.64,24.306525607618997,148.333474392381,Mobile Payment,2023-10-11 14:41:00
T028111,20230527,P0013,C1964,S034,5,246.54,1232.7,44.04473894841797,1188.655261051582,Cash,2023-05-27 12:41:00
T041929,20231107,P0825,C4313,S044,2,366.77,733.54,150.2237377853471,583.3162622146529,Credit Card,2023-11-07 08:08:00
T086547,20230103,P0066,C2156,S019,2,802.25,1604.5,275.8074261263968,1328.6925738736031,Credit Card,2023-01-03 19:37:00
T082586,20231117,P0570,C2330,S047,5,723.81,3619.05,502.78279016799024,3116.267209832009,Credit Card,2023-11-17 18:50:00
T038604,20230101,P0894,C3278,S033,2,886.81,1773.62,410.83307726589896,1362.786922734101,Credit Card,2023-01-01 13:16:00
T091658,20230717,P0651,C2592,S028,1,114.02,114.02,17.213340463518428,96.80665953648156,Cash,2023-07-17 12:03:00
T062787,20230908,P0578,C4682,S030,1,859.29,859.29,198.63779951264624,660.6522004873538,Mobile Payment,2023-09-08 10:36:00
T084341,20230816,P0785,C1884,S030,2,83.17,166.34,12.589676333842691,153.7503236661573,Debit Card,2023-08-16 20:54:00
T039875,20230930,P0798,C3031,S033,5,907.12,4535.6,764.1472904579203,3771.45270954208,Mobile Payment,2023-09-30 08:47:00
T078469,20230222,P0595,C0502,S042,5,85.5,427.5,83.19758381201284,344.30241618798715,Mobile Payment,2023-02-22 18:00:00
T031632,20230312,P0937,C1335,S016,5,659.34,3296.7000000000003,499.2214098940547,2797.4785901059454,Mobile Payment,2023-03-12 08:02:00
T014953,20230808,P0916,C1156,S034,3,428.57,1285.71,358.6330205494996,927.0769794505004,Cash,2023-08-08 08:49:00
T039332,20230104,P0150,C1443,S003,3,937.2,2811.6000000000004,318.08335071238986,2493.5166492876106,Credit Card,2023-01-04 09:34:00
T048588,20230712,P0288,C0407,S031,2,648.97,1297.94,83.0749812094023,1214.8650187905978,Debit Card,2023-07-12 15:43:00
T083595,20230716,P0627,C2876,S040,3,317.49,952.47,111.16312424031982,841.3068757596802,Mobile Payment,2023-07-16 10:15:00
T041488,20230904,P0517,C4332,S005,3,503.44,1510.32,257.61501197666576,1252.7049880233342,Credit Card,2023-09-04 18:23:00
T039628,20230324,P0551,C3465,S019,5,290.71,1453.55,104.2961589768847,1349.2538410231152,Cash,2023-03-24 09:12:00
T087895,20230901,P0575,C1519,S050,2,349.82,699.64,63.3420891615943,636.2979108384056,Mobile Payment,2023-09-01 19:32:00
T026304,20230328,P0394,C4744,S019,5,557.93,2789.65,717.4259963715975,2072.224003628402,Mobile Payment,2023-03-28 11:48:00
T067404,20230907,P0093,C2125,S006,2,972.69,1945.38,235.86508975076424,1709.514910249236,Credit Card,2023-09-07 10:05:00
T098085,20230114,P0053,C4052,S037,1,592.87,592.87,130.88605925386008,461.9839407461399,Mobile Payment,2023-01-14 18:46:00
T095602,20230712,P0800,C4018,S009,3,31.1,93.3,13.440519281304168,79.85948071869585,Debit Card,2023-07-12 16:33:00
T005020,20230519,P0883,C4989,S039,5,560.52,2802.6,237.53776685483797,2565.062233145162,Debit Card,2023-05-19 11:17:00
T005224,20230320,P0182,C3568,S004,3,666.72,2000.16,83.95217688574553,1916.2078231142543,Credit Card,2023-03-20 15:51:00
T015781,20230409,P0307,C0305,S012,1,114.74,114.74,18.137563101723902,96.6024368982761,Mobile Payment,2023-04-09 10:36:00
T045557,20230412,P0627,C1194,S006,5,317.49,1587.45,219.61065215939325,1367.839347840607,Credit Card,2023-04-12 13:35:00
T012897,20231221,P0318,C1289,S006,2,78.5,157.0,24.043826182413483,132.95617381758652,Cash,2023-12-21 09:11:00
T034305,20230513,P0988,C2613,S011,2,215.22,430.44,86.51831562900233,343.9216843709977,Credit Card,2023-05-13 10:15:00
T093323,20230220,P0754,C0433,S022,1,952.25,952.25,117.94137761340646,834.3086223865936,Mobile Payment,2023-02-20 16:40:00
T005325,20231005,P0882,C3271,S050,2,46.29,92.58,8.869313896697554,83.71068610330245,Credit Card,2023-10-05 18:54:00
T052926,20230802,P0331,C2184,S038,1,642.9,642.9,149.55508331931125,493.3449166806887,Cash,2023-08-02 20:47:00
T062865,20230420,P0163,C3578,S024,5,754.68,3773.4,960.6885572264488,2812.7114427735505,Credit Card,2023-04-20 18:37:00
T008019,20230407,P0377,C3134,S036,1,697.47,697.47,44.77465560568701,652.695344394313,Cash,2023-04-07 19:41:00
T082945,20230102,P0571,C4557,S046,2,257.07,514.14,38.82614312268269,475.3138568773173,Credit Card,2023-01-02 18:14:00
T090377,20230802,P0985,C0597,S038,5,649.66,3248.3,50.87245108118495,3197.427548918815,Cash,2023-08-02 19:57:00
T041721,20230711,P0038,C4948,S009,5,963.95,4819.75,1391.1829347475084,3428.5670652524914,Mobile Payment,2023-07-11 16:41:00
T000867,20230702,P0332,C4538,S026,2,510.87,1021.74,211.03551285603888,810.7044871439612,Credit Card,2023-07-02 11:18:00
T098444,20230224,P0780,C0816,S042,4,623.58,2494.32,375.6341968777051,2118.685803122295,Cash,2023-02-24 12:37:00
T083040,20230330,P0598,C4076,S045,1,575.01,575.01,137.7952956412514,437.2147043587486,Debit Card,2023-03-30 10:48:00
T013925,20230921,P0550,C4832,S028,2,682.49,1364.98,296.8446543239879,1068.135345676012,Cash,2023-09-21 13:09:00
T079893,20230928,P0566,C2110,S004,1,995.42,995.42,144.14672713630887,851.2732728636911,Credit Card,2023-09-28 15:36:00
T031184,20230822,P0972,C3989,S034,3,143.71,431.13,65.21397060837961,365.9160293916204,Debit Card,2023-08-22 15:53:00
T013800,20230711,P0615,C4921,S019,3,676.19,2028.57,412.4088438508174,1616.1611561491827,Debit Card,2023-07-11 13:47:00
T040989,20230113,P0155,C3928,S045,4,334.62,1338.48,399.5577030295173,938.9222969704826,Cash,2023-01-13 20:17:00
T066734,20230511,P0618,C4172,S015,4,260.51,1042.04,120.7381023161287,921.3018976838712,Credit Card,2023-05-11 11:42:00
T078331,20230325,P0331,C2996,S031,3,642.9,1928.7,195.8534223425661,1732.8465776574335,Debit Card,2023-03-25 09:10:00
T024379,20230724,P0768,C4526,S046,4,69.13,276.52,18.825630111719114,257.69436988828085,Credit Card,2023-07-24 10:57:00
T023415,20230623,P0346,C1591,S024,3,421.34,1264.02,95.63413933495995,1168.38586066504,Mobile Payment,2023-06-23 12:36:00
T097560,20230123,P0140,C3518,S035,3,727.34,2182.02,398.7073139113502,1783.3126860886498,Mobile Payment,2023-01-23 10:19:00
T022993,20230619,P0154,C3141,S034,3,465.11,1395.33,392.1721385134515,1003.1578614865484,Mobile Payment,2023-06-19 15:45:00
T003232,20230428,P0934,C3541,S012,1,458.53,458.53,130.37487868271108,328.1551213172889,Credit Card,2023-04-28 13:19:00
T041996,20230818,P0382,C3084,S031,5,42.89,214.45,18.61455640339129,195.83544359660868,Credit Card,2023-08-18 17:27:00
T049188,20230914,P0616,C2373,S048,5,82.02,410.1,102.84952518151528,307.2504748184847,Cash,2023-09-14 20:19:00
T022515,20230606,P0211,C4438,S021,2,590.46,1180.92,241.78737350852188,939.1326264914782,Debit Card,2023-06-06 20:57:00
T021326,20231216,P0727,C1680,S026,5,927.64,4638.2,609.2800830335002,4028.9199169665,Mobile Payment,2023-12-16 17:56:00
T086234,20230118,P0572,C2635,S031,3,275.19,825.5699999999999,117.60800630727482,707.9619936927252,Credit Card,2023-01-18 09:35:00
T088127,20230427,P0815,C3491,S042,2,180.59,361.18,106.62885758382224,254.55114241617773,Cash,2023-04-27 08:23:00
T029824,20230701,P0685,C2860,S028,3,498.32,1494.96,276.94620419639926,1218.0137958036007,Credit Card,2023-07-01 17:53:00
T092485,20230314,P0855,C3383,S021,2,856.5,1713.0,473.1579608410255,1239.8420391589746,Mobile Payment,2023-03-14 11:27:00
T068425,20230913,P0637,C3970,S045,5,548.74,2743.7,581.8331780535682,2161.866821946432,Debit Card,2023-09-13 16:17:00
T064484,20230815,P0444,C0682,S011,5,437.72,2188.6000000000004,263.94684745891743,1924.6531525410828,Debit Card,2023-08-15 18:40:00
T051020,20230522,P0197,C3901,S015,1,903.79,903.79,116.52486078598982,787.2651392140101,Cash,2023-05-22 19:29:00
T026754,20230829,P0047,C4616,S027,2,897.84,1795.68,329.78983766297824,1465.8901623370218,Mobile Payment,2023-08-29 14:28:00
T049964,20231204,P0621,C3948,S014,1,79.63,79.63,17.59120280740959,62.03879719259041,Credit Card,2023-12-04 13:08:00
T042732,20230610,P0703,C3982,S019,3,149.44,448.32,99.8986947967836,348.42130520321643,Mobile Payment,2023-06-10 09:57:00
T029057,20230518,P0627,C2981,S002,2,317.49,634.98,38.60998034788975,596.3700196521103,Credit Card,2023-05-18 14:14:00
T055318,20230226,P0777,C0453,S040,5,77.3,386.5,53.895641882725926,332.60435811727405,Cash,2023-02-26 14:51:00
T035497,20231226,P0856,C4528,S010,5,372.76,1863.8,311.70612728716867,1552.0938727128314,Cash,2023-12-26 20:30:00
T056338,20230920,P0418,C1112,S002,5,858.28,4291.4,416.7648696951904,3874.635130304809,Cash,2023-09-20 17:07:00
T079278,20230518,P0383,C0821,S032,1,789.73,789.73,116.54581783311204,673.184182166888,Credit Card,2023-05-18 20:02:00
T005465,20230708,P0608,C0371,S038,2,477.96,955.92,206.9608958406969,748.959104159303,Cash,2023-07-08 16:32:00
T070156,20231001,P0251,C1991,S008,2,72.26,144.52,28.11914132014792,116.40085867985208,Cash,2023-10-01 13:13:00
T070670,20230510,P0155,C4939,S020,4,334.62,1338.48,29.04770205994407,1309.432297940056,Credit Card,2023-05-10 19:17:00
T056014,20230921,P0536,C2292,S011,2,525.31,1050.62,314.9498990142188,735.6701009857811,Cash,2023-09-21 20:08:00
T012086,20230129,P0034,C1998,S024,3,98.56,295.68,88.220594986121,207.459405013879,Cash,2023-01-29 18:41:00
T056819,20230728,P0975,C2987,S049,2,765.65,1531.3,310.93949745146466,1220.3605025485354,Mobile Payment,2023-07-28 14:06:00
T020001,20230401,P0220,C1093,S011,1,997.46,997.46,9.3179871125142,988.142012887486,Debit Card,2023-04-01 17:36:00
T069067,20230818,P0576,C3014,S016,4,529.9,2119.6,199.20192732009903,1920.398072679901,Debit Card,2023-08-18 10:11:00
T050453,20230309,P0001,C2623,S026,1,399.12,399.12,30.288201228292717,368.83179877170727,Credit Card,2023-03-09 08:17:00
T090710,20230430,P0581,C4050,S014,1,385.15,385.15,16.71921025497005,368.4307897450299,Mobile Payment,2023-04-30 13:27:00
T052885,20230711,P0094,C1338,S023,1,86.11,86.11,0.7299197278658478,85.38008027213415,Credit Card,2023-07-11 13:19:00
T030964,20230409,P0051,C3596,S028,4,82.93,331.72,68.99079510777949,262.72920489222054,Mobile Payment,2023-04-09 10:20:00
T034574,20230921,P0663,C3455,S013,1,203.19,203.19,60.59143600614153,142.59856399385848,Debit Card,2023-09-21 18:22:00
T015295,20230726,P0332,C4422,S005,2,510.87,1021.74,113.0182739955798,908.7217260044202,Mobile Payment,2023-07-26 14:26:00
T027919,20230831,P0123,C4858,S019,1,931.96,931.96,51.55452845344097,880.405471546559,Cash,2023-08-31 16:14:00
T046121,20230508,P0807,C2466,S008,2,169.54,339.08,49.20105266989021,289.8789473301098,Credit Card,2023-05-08 09:18:00
T035074,20230520,P0995,C4322,S049,2,577.83,1155.66,22.192408818868845,1133.4675911811312,Credit Card,2023-05-20 09:39:00
T010551,20231113,P0552,C4984,S040,1,948.59,948.59,75.76592069518215,872.8240793048179,Debit Card,2023-11-13 11:18:00
T091128,20230629,P0565,C0393,S024,4,221.23,884.92,246.5870267836659,638.332973216334,Mobile Payment,2023-06-29 14:05:00
T000691,20230505,P0033,C2869,S021,4,102.74,410.96,76.13649719646315,334.8235028035368,Credit Card,2023-05-05 19:09:00
T077730,20230313,P0748,C2114,S039,1,565.64,565.64,73.2193913689505,492.4206086310495,Mobile Payment,2023-03-13 12:44:00
T036097,20230206,P0981,C2899,S018,3,996.99,2990.9700000000003,613.406537265341,2377.5634627346594,Debit Card,2023-02-06 13:34:00
T065352,20230923,P0920,C1565,S010,1,234.68,234.68,29.9940386566306,204.6859613433694,Credit Card,2023-09-23 12:22:00
T011041,20230302,P0048,C1751,S020,5,313.4,1567.0,423.249451072478,1143.750548927522,Debit Card,2023-03-02 20:04:00
T004222,20230415,P0577,C2995,S047,4,341.37,1365.48,297.835994835913,1067.644005164087,Cash,2023-04-15 09:22:00
T000822,20231030,P0621,C4280,S040,4,79.63,318.52,90.11636562006834,228.40363437993165,Cash,2023-10-30 16:01:00
T038129,20230411,P0506,C0177,S034,1,740.45,740.45,60.85239577021537,679.5976042297847,Cash,2023-04-11 10:28:00
